lat,lon,date,disaster,nama_lokasi,keterangan_banjir
-6.873180968890679,107.5899809417006,2023-01-01,1,"Bandung, West Java",Banjir
-7.729808397273563,107.62053916058704,2023-01-02,0,"Bunisari, West Java",Tidak Banjir
-6.349160159107056,106.02867275422564,2023-01-03,1,"Parigi, Banten",Banjir
-7.414209275047638,107.28698363670314,2023-01-04,0,"Gunungbatu, West Java",Tidak Banjir
-6.690328949431322,106.71844954013184,2023-01-05,0,"Caringin, West Java",Tidak Banjir
-6.293017625739488,107.39164426150936,2023-01-06,0,"Cikampek, West Java",Tidak Banjir
-7.234003572371539,106.40138737229054,2023-01-07,1,"Sindangasih, West Java",Banjir
-6.077708569234314,107.2494020915083,2023-01-08,0,"Rengasdengklok, West Java",Tidak Banjir
-7.929508573549851,106.82683959350408,2023-01-09,1,"Sinarharapan, West Java",Banjir
-7.37556381177871,106.44812003570424,2023-01-10,1,"Simpang, West Java",Banjir
-7.794703528757395,106.67430378871248,2023-01-11,1,"Rancaerang, West Java",Banjir
-6.498786096550836,106.43057034865626,2023-01-12,1,"Lebakhuni, West Java",Banjir
-7.422527633157745,107.04038994125888,2023-01-13,0,"Sukadami, West Java",Tidak Banjir
-6.553879358954545,106.81287184595976,2023-01-14,0,"Bogor, West Java",Tidak Banjir
-7.317544945998303,106.43824194431237,2023-01-15,0,"Gunungbatu, West Java",Tidak Banjir
-7.595847637566446,107.37351992161648,2023-01-16,1,"Kertajadi, West Java",Banjir
-6.791649094891755,106.98091207136916,2023-01-17,1,"Sukabumi, West Java",Banjir
-7.215071786102351,107.02699215377125,2023-01-18,0,"Cintasari, West Java",Tidak Banjir
-7.188054612083835,106.66501692439525,2023-01-19,0,"Kalijaga, West Java",Tidak Banjir
-6.701130709833127,106.27734565502595,2023-01-20,1,"Cilebang Satu, Banten",Banjir
-6.463358656055471,107.4790540212131,2023-01-21,0,"Cikampek, West Java",Tidak Banjir
-6.6536245618177485,106.88173045651982,2023-01-22,1,"Caringin, West Java",Banjir
-6.021159427927115,106.0548448274512,2023-01-23,1,"Curug, Banten",Banjir
-6.326574815860517,107.66294408063742,2023-01-24,1,"Pamanukan, West Java",Banjir
-6.460760627867929,106.33790431820827,2023-01-25,1,"Sumandang, Banten",Banjir
-6.553827151933035,106.56548182543948,2023-01-26,0,"Sidoger Lebak, West Java",Tidak Banjir
-6.550328557827273,107.17005400700609,2023-01-27,1,"Cileungsir, West Java",Banjir
-6.305436433003679,106.18765442196442,2023-01-28,1,"Karangtanjung, Banten",Banjir
-6.881799988461452,107.13283207246889,2023-01-29,1,"Cibeber, West Java",Banjir
-7.819030455118774,107.72657308488644,2023-01-30,1,"Cibera, West Java",Banjir
-7.62867833378258,107.97431673771833,2023-01-31,0,"Nagrog, West Java",Tidak Banjir
-7.065880158825896,106.71833415150678,2023-02-01,1,"Puncakdago, West Java",Banjir
-7.0225603073005525,106.8786982270222,2023-02-02,0,"Sukamaju, West Java",Tidak Banjir
-6.707608895781407,106.4521123010834,2023-02-03,1,"Cisarua, West Java",Banjir
-7.772644377544777,106.00552453740448,2023-02-04,0,"Gunungbatu, West Java",Tidak Banjir
-7.876545429941085,107.82297605291228,2023-02-05,1,"Cibalieur, West Java",Banjir
-7.9808148367131375,107.98948062125184,2023-02-06,1,"Sindangkerta, West Java",Banjir
-6.283511087224732,107.42217271688448,2023-02-07,1,"Cikampek, West Java",Banjir
-7.652141586882688,106.1475153691229,2023-02-08,0,"Gunungbatu, West Java",Tidak Banjir
-6.205001832488639,107.21302794962652,2023-02-09,1,"Cikarang, West Java",Banjir
-6.685976720840677,107.77973081168662,2023-02-10,1,"Lembang, West Java",Banjir
-7.298801256719066,106.31340272186212,2023-02-11,1,"Gunungbatu, West Java",Banjir
-7.899075955483421,107.481975828803,2023-02-12,1,"Gunungsulah, West Java",Banjir
-6.755034808921893,107.54913203384714,2023-02-13,0,"Lembang, West Java",Tidak Banjir
-6.660797246397423,107.100254056228,2023-02-14,1,"Ciranjang-hilir, West Java",Banjir
-7.253256015371823,107.62365200284852,2023-02-15,1,"Santosa, West Java",Banjir
-7.817110825010347,107.07996882765362,2023-02-16,0,"Cigarogol, West Java",Tidak Banjir
-6.829310523363684,107.12888602591126,2023-02-17,1,"Ciranjang-hilir, West Java",Banjir
-6.914272157001994,106.44104821444644,2023-02-18,1,"Gunungempuk, West Java",Banjir
-7.901989082804437,106.95760085690924,2023-02-19,0,"Sukadami, West Java",Tidak Banjir
-6.534350578009866,107.15067596034032,2023-02-20,0,"Cileungsir, West Java",Tidak Banjir
-7.5299395924798915,107.08051101304795,2023-02-21,0,"Mekarsari, West Java",Tidak Banjir
-7.7907493471003,107.4719908640363,2023-02-22,1,"Gunungsulah, West Java",Banjir
-6.431126502121821,106.51283913433036,2023-02-23,1,"Garisul, West Java",Banjir
-7.476321015567728,106.141450508368,2023-02-24,1,"Gunungbatu, West Java",Banjir
-6.544838820248771,107.42918798928412,2023-02-25,1,"Purwakarta, West Java",Banjir
-6.222249193955987,106.81317040557012,2023-02-26,1,"Jakarta, Jakarta Raya",Banjir
-7.454813647128452,106.5249046350945,2023-02-27,1,"Cibungur, West Java",Banjir
-7.427217518551757,107.69559709616983,2023-02-28,1,"Pakenjeng, West Java",Banjir
-6.964965444733225,106.02292904776724,2023-03-01,1,"Cicatang Satu, Banten",Banjir
-6.442468021922627,107.16156849693914,2023-03-02,0,"Cikarang, West Java",Tidak Banjir
-7.433033817767577,107.47557867564043,2023-03-03,1,"Cikarang, West Java",Banjir
-6.768699196241641,107.4392723830005,2023-03-04,1,"Padalarang, West Java",Banjir
-6.26980669534513,106.8994666175692,2023-03-05,0,"Jakarta, Jakarta Raya",Tidak Banjir
-7.594216208080418,107.36950679425706,2023-03-06,0,"Kertajadi, West Java",Tidak Banjir
-6.95795592788445,106.96456974807732,2023-03-07,0,"Sukabumi, West Java",Tidak Banjir
-6.796825129974221,107.5648692717103,2023-03-08,1,"Lembang, West Java",Banjir
-7.994349928061989,107.8882852940372,2023-03-09,0,"Ciheras, West Java",Tidak Banjir
-6.828387829058644,107.31918187808029,2023-03-10,0,"Ciranjang-hilir, West Java",Tidak Banjir
-7.036024413735724,107.2938514943339,2023-03-11,0,"Nagrog, West Java",Tidak Banjir
-6.6786970158656125,106.84924200080664,2023-03-12,0,"Caringin, West Java",Tidak Banjir
-6.319296228410103,106.25517523598089,2023-03-13,0,"Rangkasbitung, Banten",Tidak Banjir
-6.120102664701855,107.24539089047542,2023-03-14,1,"Rengasdengklok, West Java",Banjir
-7.033634963287333,107.13563295484956,2023-03-15,0,"Campaka, West Java",Tidak Banjir
-7.067683199937507,107.3578520113336,2023-03-16,1,"Nagrog, West Java",Banjir
-6.90272912159224,106.04872817544258,2023-03-17,0,"Cicatang Satu, Banten",Tidak Banjir
-6.929287178255203,106.1473701216464,2023-03-18,0,"Panyaungan Timur, Banten",Tidak Banjir
-6.355580955752845,106.04329912008274,2023-03-19,1,"Rocek, Banten",Banjir
-7.109614393267908,107.7680355997555,2023-03-20,0,"Paseh, West Java",Tidak Banjir
-7.112731459784203,106.18293169466104,2023-03-21,0,"Sindanglaut, Banten",Tidak Banjir
-7.523394802695979,106.40972940297306,2023-03-22,1,"Simpang, West Java",Banjir
-6.7871526668534665,106.6108058613111,2023-03-23,1,"Kubang, Banten",Banjir
-6.683733111275608,106.87097793479536,2023-03-24,1,"Caringin, West Java",Banjir
-7.588723769763328,107.0797324442626,2023-03-25,0,"Mekarsari, West Java",Tidak Banjir
-7.026155669500329,107.03953454284984,2023-03-26,1,"Mekarjaya, West Java",Banjir
-7.519278191774333,106.35177807800994,2023-03-27,0,"Gunungbatu, West Java",Tidak Banjir
-6.32574340606985,106.82732323627786,2023-03-28,1,"Depok, West Java",Banjir
-6.867886673909183,107.0192379032929,2023-03-29,0,"Sukabumi, West Java",Tidak Banjir
-7.30316817139409,107.31651204965672,2023-03-30,1,"Pancalan, West Java",Banjir
-7.570102287542281,106.6014942062986,2023-03-31,1,"Mekarjaya Satu, West Java",Banjir
-7.780002957346751,107.3480510026266,2023-04-01,1,"Kertajadi, West Java",Banjir
-7.035397594328903,107.17727654112144,2023-04-02,0,"Kebonkaret, West Java",Tidak Banjir
-6.2863471338517405,106.143954152366,2023-04-03,0,"Karangtanjung, Banten",Tidak Banjir
-7.830671909466709,107.33975015263948,2023-04-04,0,"Rancabuaya, West Java",Tidak Banjir
-6.772648220910238,106.81625486624024,2023-04-05,1,"Cicurug, West Java",Banjir
-6.623850010361737,106.8854542436966,2023-04-06,1,"Bogor, West Java",Banjir
-6.716748363236593,107.72997434241482,2023-04-07,0,"Lembang, West Java",Tidak Banjir
-6.740550411170125,107.53236950543396,2023-04-08,0,"Lembang, West Java",Tidak Banjir
-7.7706563133298,106.78835054234364,2023-04-09,1,"Sinarharapan, West Java",Banjir
-6.965438085933309,107.78391691927716,2023-04-10,1,"Cileunyi, West Java",Banjir
-6.611556189378764,107.06336873000848,2023-04-11,0,"Citeureup, West Java",Tidak Banjir
-7.179591171484818,107.97713250110972,2023-04-12,1,"Cinunuk Girang, West Java",Banjir
-6.657848736786726,106.892767858924,2023-04-13,0,"Caringin, West Java",Tidak Banjir
-6.212588155452478,106.60046733181817,2023-04-14,0,"Tangerang, Banten",Tidak Banjir
-7.931870056594643,106.24526857554574,2023-04-15,1,"Simpang, West Java",Banjir
-6.111140711757778,106.3134730681282,2023-04-16,0,"Kresek, West Java",Tidak Banjir
-7.427755580715217,106.71534228977508,2023-04-17,1,"Rancaerang, West Java",Banjir
-6.355802516209278,106.86736982048248,2023-04-18,1,"Depok, West Java",Banjir
-6.443486136073601,106.1219946471604,2023-04-19,0,"Sarageni, Banten",Tidak Banjir
-7.259980864588476,106.8806076857466,2023-04-20,0,"Cikarang, West Java",Tidak Banjir
-6.318176736643271,107.87551834649048,2023-04-21,0,"Pamanukan, West Java",Tidak Banjir
-6.79808928154571,106.07062503385768,2023-04-22,0,"Cikadu, Banten",Tidak Banjir
-6.9559750814760966,106.88186387721784,2023-04-23,0,"Sukamaju, West Java",Tidak Banjir
-7.822989513048388,106.15314904390668,2023-04-24,1,"Gunungbatu, West Java",Banjir
-7.845760331057914,106.827708025472,2023-04-25,0,"Sinarharapan, West Java",Tidak Banjir
-7.756523177042252,106.28035431033628,2023-04-26,0,"Gunungbatu, West Java",Tidak Banjir
-7.153473508793378,107.56988283759809,2023-04-27,1,"Banjaran, West Java",Banjir
-6.475934324035672,107.2137766996531,2023-04-28,0,"Cikarang, West Java",Tidak Banjir
-6.581265793917753,106.42858728399528,2023-04-29,0,"Jaha, Banten",Tidak Banjir
-7.242441745514546,107.07442746575052,2023-04-30,1,"Kebonkaret, West Java",Banjir
-7.777531270195503,106.13693280541344,2023-05-01,0,"Gunungbatu, West Java",Tidak Banjir
-6.914592994151064,107.65346210077792,2023-05-02,0,"Bandung, West Java",Tidak Banjir
-7.570700307523927,107.75348133374216,2023-05-03,0,"Panyindangan, West Java",Tidak Banjir
-7.238607698885293,107.33663549215032,2023-05-04,1,"Balegede, West Java",Banjir
-7.761168366829453,106.192205795681,2023-05-05,0,"Gunungbatu, West Java",Tidak Banjir
-7.013138676962607,107.48197716008488,2023-05-06,0,"Soreang, West Java",Tidak Banjir
